libcupsimage2, , 
libcurl4-gnutls-dev,libcurl,libcurl-devel
libcurl4-openssl-dev,libcurl,libcurl-devel
libdatrie1,libdatrie, 
libdbi1,libdibi, 
libdns1100,avahi-compat-libdns_sd, 
libdns-export1100,avahi-compat-libdns_sd-devel, 
libev4,libev, 
libflac8,flac,"flac-libs; flac-devel"
libfontenc1,libfontenc, 
libfreerdp2-2, , 
libfreerdp-client2-2, , 
libfreerdp-common1.1.0, , 
libfreerdp-plugins-standard, , 
libfreerdp-utils1.1, , 
libgcc-7-dev,libgcc, 
libgomp1,libgomp, 
libgraphite2-3,graphite,graphite-devel
libgs9,libgs, 
libgs9-common,libgs, 
libharfbuzz0b,harfbuzz,harfbuzz-devel
libhdfs0-2-6-99-201-39240152, , 
libhogweed4, , 
libijs-0.35,libijs, 
libirs160, , 
libisc169, , 
libisccc160, , 
libisccfg160, , 
libisc-export169, , 
libisl19, , 
libitm1,libitm, 
libjbig0,jbigkit,jbigkit-devel; jbigkit-libs
libjbig2dec0,jbig2dec-libs, 
libjq1,jq, 
libllvm3.9,llvm,llvm-devel; llvm-libs
liblsan0,liblsan, 
libltdl7,libtool-ltdl, 
liblttng-ust0,lttng-tools,lttng-st; lttng-devel
liblttng-ust-ctl4,lttng-tools,lttng-st; lttng-devel
liblwres160, , 
libmpc3,libmpc, 
libmpx2, , 
libnet1,libnet, 
libnettle6,nettle,nettle-devel; nettle-debuginfo
libnss-systemd,systemdlibs, 
libodbc1,libiodbc,libiodbc-devel
libogg0,libogg,libogg-devel
libonig4, , 
libossp-uuid16,uuid,uuid-devel
libpam-systemd,systemd-pam, 
libpango-1.0-0,pango,pango-devel
libpangocairo-1.0-0,pango,pango-devel
libpangoft2-1.0-0,pango,pango-devel
libpaper1,libpaper,libpaper-devel
libpaper-utils,libpaper,libpaper-devel
libpixman-1-0,pixman,pixman-devel
libpq5,libpq,libpq-devel
libpulse0,pulseaudio,pulseaudio-libs
libquadmath0,libquadmath,libquadmath-devel
librrd8,rrdtool,rrd-devel
libsensors4,lm_sensors,lm_sensors_devel
libsndfile1,libsndfile,libsndinfo-debuginfo; libsndinfo-utils; libsndinfo-devel
libssh2-1,libssh, 
libssl-dev,openssl,openssl-devel
libstdc++-7-dev,libstdc++-devel, 
libstrongswan,strongswan,strongswan-debuginfo
libstrongswan-standard-plugins,strongswan,strongswan-debuginfo
libsystemd0,systemdlibs, 
libtelnet2,telnet, 
libtfm1, , 
libthai0,libthai, 
libthai-data,libthai-devel, 
libtiff5,libtiff,libtiff-devel; libtiff-tools
libtsan0,libtsan, 
libubsan0,libubsan, 
libudev1,libgudev, 
liburcu6, , 
libvorbis0a,libvorbus,libvorbis-devel; libvorbis-devel-docs
libvorbisenc2,libvorbus,libvorbis-devel; libvorbis-devel-docs
libwbclient0,libwbclient,libwbclient-devel
libwebp6,libwebp,libwebp-devel; libwebp-debuginfo
libwebsockets8,websocketpp-devel, 
libwinpr2-2,libwinpr,libwinpr-devel
libwinpr-crt0.1,libwinpr,libwinpr-devel
libwinpr-environment0.1,libwinpr,libwinpr-devel
libwinpr-file0.1,libwinpr,libwinpr-devel
libwinpr-handle0.1,libwinpr,libwinpr-devel
libwinpr-heap0.1,libwinpr,libwinpr-devel
libwinpr-interlocked0.1,libwinpr,libwinpr-devel
libwinpr-library0.1,libwinpr,libwinpr-devel
libwinpr-path0.1,libwinpr,libwinpr-devel
libwinpr-synch0.1,libwinpr,libwinpr-devel
libwinpr-sysinfo0.1,libwinpr,libwinpr-devel
libwinpr-thread0.1,libwinpr,libwinpr-devel
libwinpr-utils0.1,libwinpr,libwinpr-devel
libx11-6,libx11,libx11-common; libx11-debuginfo; libx11-devel; libx11-xcb
libx11-data,libx11,libx11-common; libx11-debuginfo; libx11-devel; libx11-xcb
libxcb-render0,libxcb,libxcb-debuginfo; libxcb-devel
libxcb-shm0,libxcb,libxcb-debuginfo; libxcb-devel
libxkbfile1,libxkbcommon,libxkbcommon-debuginfo; libkcbcommon-devel; libxkbcommon-utils
